OrderID,OrderDate,Region,Product,Category,Quantity,UnitPrice,CustomerType,PaymentMethod
1001,02-01-2023,South,Laptop Sleeve,Accessories,2.00,15,New,Credit Card
1002,03-01-2023,North,Bluetooth Speaker,Electronics,1.00,40,Returning,UPI
1003,03-01-2023,West,Office Chair,Furniture,1.00,120,New,Cash
1004,04-01-2023,East,Wireless Mouse,Electronics,3.00,12,Returning,Credit Card
1005,05-01-2023,South,Keyboard,Electronics,1.00,25,New,Debit Card
1006,05-01-2023,North,Water Bottle,Accessories,4.00,8,Returning,UPI
1007,06-01-2023,West,Desk Lamp,Home Decor,1.00,35,New,Credit Card
1008,06-01-2023,East,Phone Stand,Accessories,3.00,10,Returning,Cash
1009,07-01-2023,South,Notebook,Stationery,5.00,5,New,Debit Card
1010,07-01-2023,North,Backpack,Bags,1.00,45,Returning,UPI
1011,08-01-2023,West,Laptop Stand,Accessories,2.00,20,New,Credit Card
1012,08-01-2023,East,Wall Clock,Home Decor,1.00,30,Returning,UPI
1013,09-01-2023,South,Smartwatch,Electronics,1.00,60,New,Debit Card
1014,09-01-2023,North,Table Mat,Home Decor,3.00,7,Returning,Cash
1015,10-01-2023,West,Portable Charger,Electronics,1.00,30,New,Credit Card
1016,10-01-2023,East,Office Pen,Stationery,10.00,2,Returning,UPI
1017,11-01-2023,South,Desk Organizer,Accessories,1.00,18,New,Debit Card
1018,11-01-2023,North,Monitor Stand,Accessories,1.00,22,Returning,Credit Card
1019,12-01-2023,West,Bluetooth Earbuds,Electronics,1.00,50,New,UPI
1020,12-01-2023,East,Sticky Notes,Stationery,6.00,1.5,Returning,Cash
1021,13-01-2023,South,Table Lamp,Home Decor,1.00,40,New,Credit Card
1022,13-01-2023,North,HDMI Cable,Electronics,2.00,8,Returning,UPI
1023,14-01-2023,West,Mouse Pad,Accessories,3.00,5,New,Cash
1024,14-01-2023,East,Printer Paper,Stationery,2.00,6,Returning,Debit Card
1025,15-01-2023,South,Smart Bulb,Electronics,1.00,18,New,UPI
1026,15-01-2023,North,File Folder,Stationery,4.00,3,Returning,Credit Card
1027,16-01-2023,West,Travel Mug,Accessories,2.00,12,New,UPI
1028,16-01-2023,East,Desk Plant,Home Decor,1.00,15,Returning,Credit Card
1029,17-01-2023,South,USB Adapter,Electronics,2.00,9,New,Debit Card
1030,17-01-2023,North,Scissors,Stationery,1.00,4,Returning,Cash
1031,18-01-2023,West,Coffee Mug,Home Decor,1.00,10,New,Credit Card
1032,18-01-2023,East,Cable Organizer,Accessories,3.00,6,Returning,UPI
1033,19-01-2023,South,Extension Cable,Electronics,1.00,14,New,UPI
1034,19-01-2023,North,Pencil Box,Stationery,2.00,5,Returning,Credit Card
1035,20-01-2023,West,LED Strip,Home Decor,1.00,25,New,Debit Card
1036,20-01-2023,East,Keychain,Accessories,5.00,2,Returning,Cash
1037,21-01-2023,South,Tripod,Electronics,1.00,35,New,UPI
1038,21-01-2023,North,Book Stand,Accessories,1.00,16,Returning,Credit Card
1039,22-01-2023,West,Pen Set,Stationery,5.00,3,New,UPI
1040,22-01-2023,East,Table Runner,Home Decor,1.00,22,Returning,Debit Card
1041,23-01-2023,South,Laptop Bag,Bags,1.00,55,New,Credit Card
1042,23-01-2023,North,Earphones,Electronics,1.00,20,Returning,UPI
1043,24-01-2023,West,Cushion Cover,Home Decor,2.00,12,New,Cash
1044,24-01-2023,East,Rubber Band Pack,Accessories,10.00,0.5,Returning,Credit Card
1045,25-01-2023,South,Stapler,Stationery,1.00,7,New,Debit Card
1046,25-01-2023,North,Desk Shelf,Home Decor,1.00,28,Returning,Cash
1047,26-01-2023,West,Headphones,Electronics,1.00,70,New,Credit Card
1048,26-01-2023,East,Notepad,Stationery,3.00,4,Returning,UPI
1049,27-01-2023,South,Photo Frame,Home Decor,1.00,18,New,Credit Card
1050,27-01-2023,North,Flash Drive,Electronics,2.00,12,Returning,Debit Card
1051,28-01-2023,West,Phone Grip,Accessories,4.00,3,New,UPI
1052,28-01-2023,East,Desk Mirror,Home Decor,1.00,20,Returning,Credit Card
1053,29-01-2023,South,Whiteboard Marker,Stationery,5.00,2,New,Cash
1054,29-01-2023,North,USB Cable,Electronics,1.00,6,Returning,UPI
1055,30-01-2023,West,Decor Light,Home Decor,1.00,30,New,Credit Card
1056,30-01-2023,East,Binder Clips,Stationery,6.00,1,Returning,Cash
